,Distance,1D_1yr,1D_2yr,1D_5yr,1D_10yr,1D_20yr
382,315.8094,0.26922,0.27239,0.2926,0.32213,0.3465
383,316.6394,0.26922,0.27238,0.29255,0.32208,0.34649
384,317.4594,0.26922,0.27238,0.29251,0.32203,0.34647
385,318.2894,0.26922,0.27238,0.29246,0.32198,0.34645
386,319.1194,0.26922,0.27237,0.29242,0.32193,0.34644
387,319.9394,0.26923,0.27237,0.29237,0.32189,0.34642
388,320.7694,0.26923,0.27237,0.29233,0.32184,0.34641
389,321.5994,0.26923,0.27237,0.29228,0.32179,0.34639
390,322.4194,0.26923,0.27236,0.29224,0.32174,0.34638
391,323.2494,0.26923,0.27236,0.2922,0.32169,0.34636
392,324.0794,0.26923,0.27236,0.29215,0.32165,0.34634
393,324.9094,0.26923,0.27235,0.2921,0.3216,0.34633
394,325.7294,0.26923,0.27235,0.29206,0.32155,0.34631
395,326.5594,0.26923,0.27235,0.29201,0.3215,0.3463
396,327.3894,0.26923,0.27235,0.29197,0.32145,0.34628
397,328.2094,0.26923,0.27234,0.29192,0.32141,0.34627
398,329.0394,0.26924,0.27235,0.29189,0.32136,0.34625
399,329.8694,0.26924,0.27235,0.29185,0.32132,0.34624
400,330.6894,0.26924,0.27234,0.29181,0.32128,0.34623
401,331.5194,0.26924,0.27234,0.29178,0.32124,0.34621
402,332.3494,0.26924,0.27234,0.29174,0.32119,0.3462
403,333.1694,0.26924,0.27234,0.2917,0.32115,0.34618
404,333.9994,0.26924,0.27234,0.29167,0.32111,0.34617
405,334.8294,0.26924,0.27234,0.29163,0.32107,0.34616
406,335.6494,0.26925,0.27234,0.29159,0.32102,0.34614
407,336.4794,0.26925,0.27234,0.29156,0.32098,0.34613
408,337.3094,0.26925,0.27234,0.29152,0.32094,0.34612
409,338.1294,0.26925,0.27234,0.29148,0.32089,0.3461
410,338.9594,0.26925,0.27234,0.29145,0.32085,0.34609
411,339.7894,0.26925,0.27234,0.29141,0.32081,0.34607
412,340.6094,0.26925,0.27234,0.29137,0.32077,0.34606
413,341.4394,0.26925,0.27234,0.29134,0.32072,0.34605
414,342.2694,0.26926,0.27234,0.2913,0.32068,0.34603
415,343.0894,0.26926,0.27234,0.29127,0.32064,0.34602
416,343.9194,0.26926,0.27234,0.29123,0.3206,0.34601
417,344.7494,0.26926,0.27234,0.2912,0.32056,0.346
