,t,median,stdev,t (days),Probability density,Cumulative probability,T,lnfO2,P,Ea,C0,C1,b1,Profile
185,3.765151484,,,,,,1196.083583,-18.83878549,0.347677085,220024.4256,0.851822672,0.847825514,5.984411165,Ol1A
186,0.266778769,,,,,,1203.492359,-18.35995604,0.378656535,193914.3746,0.852426594,0.848080636,3.594379499,Ol1A
187,3.120080888,,,,,,1205.700667,-18.3260545,0.358464663,222103.1216,0.851753185,0.848007476,2.457737002,Ol1A
188,2.550557286,,,,,,1213.851983,-19.118791,0.376399432,216414.8458,0.85178231,0.847861084,3.74564522,Ol1A
189,0.524959449,,,,,,1178.930109,-19.0290538,0.302245617,203876.8325,0.851570539,0.84790589,7.021225555,Ol1A
190,1.40041667,,,,,,1182.757309,-18.90929742,0.487147143,199496.1023,0.852219692,0.84811041,3.293574042,Ol1A
191,1.284257168,,,,,,1260.593616,-19.53904108,0.383449151,202631.4592,0.851773789,0.848105651,0.343443436,Ol1A
192,0.619097196,,,,,,1194.698028,-18.18521289,0.476906144,206607.3719,0.852437057,0.848039174,5.654233463,Ol1A
193,13.25278145,,,,,,1202.311734,-18.40433059,0.46838878,233339.1878,0.852092999,0.847887873,6.922571569,Ol1A
194,0.134283447,,,,,,1199.734075,-18.35804842,0.350394179,194080.28,0.851745102,0.848000119,6.993082155,Ol1A
195,11.28023472,,,,,,1177.049351,-18.08919932,0.556991075,218381.5437,0.85199847,0.847875577,2.239177255,Ol1A
196,2.325757082,,,,,,1224.592264,-18.45016686,0.370920215,208394.1549,0.851534188,0.847832744,3.157354023,Ol1A
197,0.580894276,,,,,,1192.432251,-18.26988605,0.495428989,203190.1816,0.852276279,0.84811571,4.824185548,Ol1A
198,1.229872016,,,,,,1206.096957,-18.18044366,0.459403463,196640.1037,0.852063524,0.848043094,1.670494754,Ol1A
199,1.514893648,,,,,,1211.065191,-17.98267216,0.234436331,224876.0905,0.851743504,0.848046786,7.144274041,Ol1A
200,0.626755389,,,,,,1196.763783,-18.72955736,0.313780338,205905.1389,0.852162756,0.847942099,3.99400123,Ol1A
201,1.110627041,,,,,,1178.281664,-18.71117079,0.453313289,191342.4574,0.851738141,0.847823557,2.95547919,Ol1A
202,0.350580508,,,,,,1233.494119,-17.92845576,0.511272408,199188.8157,0.852175043,0.847951003,1.793182299,Ol1A
203,1.315116562,,,,,,1195.806829,-18.07806251,0.50546445,193465.7089,0.851622116,0.848016367,1.434557502,Ol1A
204,4.63281479,,,,,,1225.159121,-18.2654757,0.324963644,239136.3403,0.851533332,0.848086805,6.580275887,Ol1A
205,0.267756272,,,,,,1216.883812,-18.84799626,0.421999261,195976.266,0.851813416,0.848067738,7.495844837,Ol1A
206,0.414358923,,,,,,1212.343014,-18.52761972,0.43408067,191621.1076,0.851791224,0.84787136,0.490720589,Ol1A
207,3.06489701,,,,,,1227.70255,-18.55752384,0.344008282,220424.788,0.851830502,0.847850965,3.454388741,Ol1A
208,1.15693487,,,,,,1201.313166,-18.5771637,0.288580516,196356.8244,0.852258073,0.848014956,2.906836727,Ol1A
209,0.686742098,,,,,,1200.011536,-18.74410341,0.446009908,190297.8566,0.851850191,0.847816867,2.49700367,Ol1A
210,0.222930318,,,,,,1202.161882,-18.75529963,0.380411929,175314.6898,0.852226353,0.848020847,2.355256217,Ol1A
211,0.547856791,,,,,,1213.366734,-18.76965557,0.36937495,198686.0855,0.851921534,0.84795577,0.329851858,Ol1A
